3 Regidrago V SIT 135
3 Regidrago VSTAR SIT 136
3 Teal Mask Ogerpon ex TWM 25
1 Hoothoot SCR 114
1 Noctowl SCR 115
1 Dragapult ex TWM 130
1 Alolan Exeggutor ex SSP 133
1 Cleffa OBF 80
1 Giratina VSTAR LOR 131
1 Kyurem SFA 47
1 Mew ex MEW 151
1 Squawkabilly ex PAL 169
1 Radiant Charizard CRZ 20
1 Fezandipiti ex SFA 38
4 Professor's Research SVI 189
3 Iono PAL 185
2 Boss's Orders PAL 172
4 Nest Ball SVI 181
4 Ultra Ball SVI 196
4 Energy Switch SVI 173
3 Earthen Vessel PAR 163
2 Super Rod PAL 188
1 Switch SVI 194
1 Superior Energy Retrieval PAL 189
1 Prime Catcher TEF 157
1 Canceling Cologne ASR 136
1 Jamming Tower TWM 153
7 Grass Energy SVE 9
2 Fire Energy SVE 10

