antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Arven OBF 186'}),"frozenset({""Boss's Orders PAL 172""})",0.42660550458715596,0.9541284403669725,0.42201834862385323,0.989247311827957,1.0368072787427625,1.0,0.014981903880144753,4.266055045871559,0.0619130434782608,0.44019138755980863,0.7655913978494623,0.7157775020678246
"frozenset({""Boss's Orders PAL 172""})",frozenset({'Arven OBF 186'}),0.9541284403669725,0.42660550458715596,0.42201834862385323,0.4423076923076923,1.0368072787427627,1.0,0.014981903880144753,1.0281556469471687,0.7739130434782608,0.44019138755980863,0.02738461538461536,0.7157775020678246
frozenset({'Counter Catcher PAR 160'}),"frozenset({""Boss's Orders PAL 172""})",0.5412844036697247,0.9541284403669725,0.518348623853211,0.9576271186440678,1.0036668839634941,1.0,0.0018937799848497416,1.0825688073394484,0.007964601769911426,0.5305164319248825,0.07627118644067694,0.7504481747066493
"frozenset({""Boss's Orders PAL 172""})",frozenset({'Counter Catcher PAR 160'}),0.9541284403669725,0.5412844036697247,0.518348623853211,0.5432692307692307,1.0036668839634941,1.0,0.0018937799848497416,1.0043457267020763,0.07964601769911435,0.5305164319248825,0.004326923076923039,0.7504481747066493
frozenset({'Pal Pad SVI 182'}),"frozenset({""Boss's Orders PAL 172""})",0.48623853211009177,0.9541284403669725,0.481651376146789,0.990566037735849,1.0381894049346878,1.0,0.01771736385826106,4.862385321100856,0.07159863945578218,0.5023923444976076,0.7943396226415068,0.7476868650217706
"frozenset({""Boss's Orders PAL 172""})",frozenset({'Pal Pad SVI 182'}),0.9541284403669725,0.48623853211009177,0.481651376146789,0.5048076923076923,1.0381894049346878,1.0,0.01771736385826106,1.0374988866126302,0.8019047619047616,0.5023923444976076,0.03614354395604387,0.7476868650217706
frozenset({'Buddy-Buddy Poffin TEF 144'}),frozenset({'Nest Ball SVI 181'}),0.44954128440366975,0.9495412844036697,0.43577981651376146,0.9693877551020408,1.020901114068816,1.0,0.008921807928625514,1.6483180428134547,0.03719298245614026,0.4523809523809524,0.3933209647495359,0.7141624765848368
frozenset({'Nest Ball SVI 181'}),frozenset({'Buddy-Buddy Poffin TEF 144'}),0.9495412844036697,0.44954128440366975,0.43577981651376146,0.45893719806763283,1.0209011140688158,1.0,0.008921807928625514,1.017365661861075,0.40574162679425707,0.4523809523809524,0.017069243156199603,0.7141624765848368
frozenset({'Buddy-Buddy Poffin TEF 144'}),frozenset({'Ultra Ball SVI 196'}),0.44954128440366975,0.8440366972477065,0.4036697247706422,0.8979591836734694,1.0638864241348713,1.0,0.024240383806076904,1.5284403669724766,0.10909090909090896,0.45360824742268047,0.34573829531812705,0.6881100266193434
frozenset({'Ultra Ball SVI 196'}),frozenset({'Buddy-Buddy Poffin TEF 144'}),0.8440366972477065,0.44954128440366975,0.4036697247706422,0.4782608695652174,1.0638864241348713,1.0,0.024240383806076904,1.0550458715596331,0.38502673796791415,0.45360824742268047,0.05217391304347824,0.6881100266193434
frozenset({'Iono PAL 185'}),frozenset({'Counter Catcher PAR 160'}),0.7247706422018348,0.5412844036697247,0.42201834862385323,0.5822784810126582,1.0757348208538942,1.0,0.029711303762309627,1.098137336669447,0.2557971014492758,0.5000000000000001,0.08936708860759497,0.6809697489809055
frozenset({'Counter Catcher PAR 160'}),frozenset({'Iono PAL 185'}),0.5412844036697247,0.7247706422018348,0.42201834862385323,0.7796610169491526,1.0757348208538942,1.0,0.029711303762309627,1.249117854622442,0.15347826086956548,0.5000000000000001,0.19943502824858772,0.6809697489809055
frozenset({'Counter Catcher PAR 160'}),frozenset({'Nest Ball SVI 181'}),0.5412844036697247,0.9495412844036697,0.5321100917431193,0.9830508474576273,1.035290264472284,1.0,0.018138203854894397,2.9770642201835154,0.0743103448275863,0.5550239234449762,0.6640986132511589,0.7717186604437896
frozenset({'Nest Ball SVI 181'}),frozenset({'Counter Catcher PAR 160'}),0.9495412844036697,0.5412844036697247,0.5321100917431193,0.5603864734299517,1.0352902644722837,1.0,0.018138203854894397,1.0434519608831536,0.6755485893416934,0.5550239234449762,0.04164251207729484,0.7717186604437896
frozenset({'Counter Catcher PAR 160'}),frozenset({'Night Stretcher SFA 61'}),0.5412844036697247,0.7568807339449541,0.44495412844036697,0.8220338983050848,1.0860811504879302,1.0,0.035266391717868883,1.3660987330712102,0.17278350515463925,0.5215053763440861,0.2679884873680845,0.7049563430919363
frozenset({'Night Stretcher SFA 61'}),frozenset({'Counter Catcher PAR 160'}),0.7568807339449541,0.5412844036697247,0.44495412844036697,0.5878787878787879,1.0860811504879302,1.0,0.035266391717868883,1.1130599028602268,0.32600661349931936,0.5215053763440861,0.10157575757575765,0.7049563430919363
frozenset({'Counter Catcher PAR 160'}),frozenset({'Ultra Ball SVI 196'}),0.5412844036697247,0.8440366972477065,0.4724770642201835,0.8728813559322034,1.034174649963154,1.0,0.015613163875094704,1.226911314984709,0.07203883495145638,0.5175879396984925,0.18494516450648035,0.7163319823139278
frozenset({'Ultra Ball SVI 196'}),frozenset({'Counter Catcher PAR 160'}),0.8440366972477065,0.5412844036697247,0.4724770642201835,0.5597826086956521,1.034174649963154,1.0,0.015613163875094704,1.0420206138860573,0.21187892632781294,0.5175879396984925,0.040326086956521644,0.7163319823139278
frozenset({'Earthen Vessel PAR 163'}),frozenset({'Night Stretcher SFA 61'}),0.6284403669724771,0.7568807339449541,0.5,0.7956204379562044,1.0511833665118337,1.0,0.02434559380523521,1.1895478374836175,0.131045418507192,0.5647668393782384,0.15934444291419922,0.7281132492811325
frozenset({'Night Stretcher SFA 61'}),frozenset({'Earthen Vessel PAR 163'}),0.7568807339449541,0.6284403669724771,0.5,0.6606060606060606,1.0511833665118337,1.0,0.02434559380523521,1.0947739187418088,0.20027696036004816,0.5647668393782384,0.08656939768050886,0.7281132492811325
frozenset({'Earthen Vessel PAR 163'}),frozenset({'Ultra Ball SVI 196'}),0.6284403669724771,0.8440366972477065,0.555045871559633,0.8832116788321168,1.0464138368771818,1.0,0.024619139803046863,1.3354357798165137,0.11937557392102838,0.6050000000000001,0.2511807642765135,0.7704101872421454
frozenset({'Ultra Ball SVI 196'}),frozenset({'Earthen Vessel PAR 163'}),0.8440366972477065,0.6284403669724771,0.555045871559633,0.6576086956521738,1.0464138368771818,1.0,0.024619139803046863,1.0851900393184795,0.28439474963539124,0.6050000000000001,0.07850241545893698,0.7704101872421454
frozenset({'Nest Ball SVI 181'}),frozenset({'Hisuian Heavy Ball ASR 146'}),0.9495412844036697,0.48623853211009177,0.481651376146789,0.5072463768115942,1.0432048126879956,1.0,0.019947815840417438,1.0426335671883433,0.8207792207792188,0.5048076923076923,0.040890269151138726,0.7489062072737216
frozenset({'Hisuian Heavy Ball ASR 146'}),frozenset({'Nest Ball SVI 181'}),0.48623853211009177,0.9495412844036697,0.481651376146789,0.990566037735849,1.0432048126879956,1.0,0.019947815840417438,5.348623853210951,0.08061224489795904,0.5048076923076923,0.8130360205831884,0.7489062072737216
frozenset({'Hisuian Heavy Ball ASR 146'}),frozenset({'Night Stretcher SFA 61'}),0.48623853211009177,0.7568807339449541,0.4036697247706422,0.8301886792452831,1.0968553459119497,1.0,0.03564514771483879,1.4317023445463815,0.17187499999999983,0.48087431693989074,0.30153079387682463,0.6817610062893082
frozenset({'Night Stretcher SFA 61'}),frozenset({'Hisuian Heavy Ball ASR 146'}),0.7568807339449541,0.48623853211009177,0.4036697247706422,0.5333333333333333,1.0968553459119497,1.0,0.03564514771483879,1.1009174311926606,0.363207547169811,0.48087431693989074,0.09166666666666659,0.6817610062893082
frozenset({'Iono PAL 185'}),frozenset({'Ultra Ball SVI 196'}),0.7247706422018348,0.8440366972477065,0.6238532110091743,0.8607594936708861,1.019812878370941,1.0,0.01212019190303848,1.1201000834028356,0.07058823529411773,0.6601941747572815,0.10722263588979891,0.7999449642267473
frozenset({'Ultra Ball SVI 196'}),frozenset({'Iono PAL 185'}),0.8440366972477065,0.7247706422018348,0.6238532110091743,0.7391304347826086,1.019812878370941,1.0,0.01212019190303848,1.055045871559633,0.12456747404844308,0.6601941747572815,0.05217391304347814,0.7999449642267473
frozenset({'Nest Ball SVI 181'}),frozenset({'Night Stretcher SFA 61'}),0.9495412844036697,0.7568807339449541,0.7431192660550459,0.782608695652174,1.03399209486166,1.0,0.02442976180456191,1.1183486238532112,0.6515151515151513,0.7714285714285715,0.10582444626743241,0.8822134387351779
frozenset({'Night Stretcher SFA 61'}),frozenset({'Nest Ball SVI 181'}),0.7568807339449541,0.9495412844036697,0.7431192660550459,0.9818181818181818,1.03399209486166,1.0,0.02442976180456191,2.7752293577981657,0.13522012578616358,0.7714285714285715,0.6396694214876034,0.8822134387351779
frozenset({'Pal Pad SVI 182'}),frozenset({'Nest Ball SVI 181'}),0.48623853211009177,0.9495412844036697,0.463302752293578,0.9528301886792452,1.0034636769665481,1.0,0.0015991919872064275,1.0697247706422002,0.0067185289957565645,0.47641509433962265,0.06518010291595054,0.7203764469966274
frozenset({'Nest Ball SVI 181'}),frozenset({'Pal Pad SVI 182'}),0.9495412844036697,0.48623853211009177,0.463302752293578,0.48792270531400966,1.0034636769665481,1.0,0.0015991919872064275,1.0032889042755755,0.0684068406840668,0.47641509433962265,0.0032781228433401855,0.7203764469966274
frozenset({'Nest Ball SVI 181'}),frozenset({'Ultra Ball SVI 196'}),0.9495412844036697,0.8440366972477065,0.8302752293577982,0.8743961352657005,1.0359693341734928,1.0,0.028827539769379684,1.2417078334509524,0.6880964339527871,0.861904761904762,0.19465757317419696,0.9290458937198067
frozenset({'Ultra Ball SVI 196'}),frozenset({'Nest Ball SVI 181'}),0.8440366972477065,0.9495412844036697,0.8302752293577982,0.983695652173913,1.035969334173493,1.0,0.028827539769379684,3.0948012232415785,0.22261943451413724,0.861904761904762,0.67687747035573,0.9290458937198067
frozenset({'Pal Pad SVI 182'}),frozenset({'Night Stretcher SFA 61'}),0.48623853211009177,0.7568807339449541,0.43119266055045874,0.8867924528301887,1.1716409376786736,1.0,0.0631680834946553,2.1475535168195723,0.28514437689969585,0.5310734463276837,0.5343538625845498,0.7282447112635793
frozenset({'Night Stretcher SFA 61'}),frozenset({'Pal Pad SVI 182'}),0.7568807339449541,0.48623853211009177,0.43119266055045874,0.5696969696969697,1.1716409376786734,1.0,0.0631680834946553,1.1939527070680966,0.6025692492974707,0.5310734463276837,0.1624458874458874,0.7282447112635793
frozenset({'Ultra Ball SVI 196'}),frozenset({'Night Stretcher SFA 61'}),0.8440366972477065,0.7568807339449541,0.6513761467889908,0.7717391304347826,1.019631093544137,1.0,0.012541031899671706,1.0650939274792484,0.12344656172328053,0.6859903381642511,0.06111566858080382,0.8161725955204215
frozenset({'Night Stretcher SFA 61'}),frozenset({'Ultra Ball SVI 196'}),0.7568807339449541,0.8440366972477065,0.6513761467889908,0.8606060606060606,1.019631093544137,1.0,0.012541031899671706,1.1188671719186274,0.07919213393568937,0.6859903381642511,0.10623885918003532,0.8161725955204215
"frozenset({'Counter Catcher PAR 160', 'Nest Ball SVI 181'})","frozenset({""Boss's Orders PAL 172""})",0.5321100917431193,0.9541284403669725,0.5091743119266054,0.9568965517241378,1.002901193633952,1.0,0.001472939988216404,1.0642201834862337,0.006182653241476452,0.5211267605633803,0.06034482758620272,0.7452751989389919
"frozenset({'Counter Catcher PAR 160', ""Boss's Orders PAL 172""})",frozenset({'Nest Ball SVI 181'}),0.518348623853211,0.9495412844036697,0.5091743119266054,0.9823008849557521,1.034500448890599,1.0,0.016980893864152802,2.85091743119264,0.06924066924066906,0.5311004784688994,0.6492357200321777,0.7592663845068615
"frozenset({""Boss's Orders PAL 172"", 'Nest Ball SVI 181'})",frozenset({'Counter Catcher PAR 160'}),0.9036697247706422,0.5412844036697247,0.5091743119266054,0.5634517766497461,1.0409532822851242,1.0,0.020031983839744083,1.0507787497333048,0.40840840840840764,0.5441176470588235,0.04832487309644656,0.7520648713757205
frozenset({'Counter Catcher PAR 160'}),"frozenset({""Boss's Orders PAL 172"", 'Nest Ball SVI 181'})",0.5412844036697247,0.9036697247706422,0.5091743119266054,0.9406779661016949,1.0409532822851242,1.0,0.020031983839744083,1.6238532110091721,0.08576576576576557,0.5441176470588235,0.38418079096045116,0.7520648713757205
frozenset({'Nest Ball SVI 181'}),"frozenset({'Counter Catcher PAR 160', ""Boss's Orders PAL 172""})",0.9495412844036697,0.518348623853211,0.5091743119266054,0.536231884057971,1.034500448890599,1.0,0.016980893864152802,1.0385607798165135,0.6609336609336588,0.5311004784688994,0.03712905452035874,0.7592663845068615
"frozenset({""Boss's Orders PAL 172""})","frozenset({'Counter Catcher PAR 160', 'Nest Ball SVI 181'})",0.9541284403669725,0.5321100917431193,0.5091743119266054,0.533653846153846,1.002901193633952,1.0,0.001472939988216404,1.0033103187364036,0.06306306306305988,0.5211267605633803,0.0032993966817493046,0.7452751989389919
"frozenset({'Counter Catcher PAR 160', ""Boss's Orders PAL 172""})",frozenset({'Night Stretcher SFA 61'}),0.518348623853211,0.7568807339449541,0.42660550458715596,0.8230088495575221,1.0873692679002414,1.0,0.034277417725780635,1.3736238532110088,0.16682027649769574,0.5027027027027027,0.2719986642177322,0.6933226065969429
"frozenset({'Counter Catcher PAR 160', 'Night Stretcher SFA 61'})","frozenset({""Boss's Orders PAL 172""})",0.44495412844036697,0.9541284403669725,0.42660550458715596,0.9587628865979382,1.004857256145916,1.0,0.0020621159835030323,1.1123853211009171,0.008708788767439626,0.4386792452830189,0.10103092783505128,0.7029391356066614
"frozenset({""Boss's Orders PAL 172"", 'Night Stretcher SFA 61'})",frozenset({'Counter Catcher PAR 160'}),0.7155963302752294,0.5412844036697247,0.42660550458715596,0.5961538461538461,1.1013689700130378,1.0,0.039264371685885036,1.1358671909130624,0.3236212278876172,0.5138121546961326,0.11961538461538465,0.6921447196870926
