antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bloodmoon Ursaluna ex TWM 141'}),frozenset({'Fezandipiti ex SFA 38'}),0.48,0.84,0.44,0.9166666666666667,1.0912698412698414,1.0,0.036800000000000055,1.9200000000000021,0.16083916083916108,0.5000000000000001,0.47916666666666724,0.7202380952380953
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Bloodmoon Ursaluna ex TWM 141'}),0.84,0.48,0.44,0.5238095238095238,1.0912698412698414,1.0,0.036800000000000055,1.092,0.5227272727272734,0.5000000000000001,0.08424908424908432,0.7202380952380953
frozenset({'Iron Bundle PAR 56'}),frozenset({'Fezandipiti ex SFA 38'}),0.4,0.84,0.4,1.0,1.1904761904761905,1.0,0.064,inf,0.26666666666666666,0.4761904761904762,1.0,0.7380952380952381
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Iron Bundle PAR 56'}),0.84,0.4,0.4,0.4761904761904762,1.1904761904761905,1.0,0.064,1.1454545454545455,0.9999999999999998,0.4761904761904762,0.126984126984127,0.7380952380952381
frozenset({'Lumineon V BRS 40'}),frozenset({'Fezandipiti ex SFA 38'}),0.48,0.84,0.48,1.0,1.1904761904761905,1.0,0.07680000000000003,inf,0.3076923076923078,0.5714285714285715,1.0,0.7857142857142857
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Lumineon V BRS 40'}),0.84,0.48,0.48,0.5714285714285714,1.1904761904761905,1.0,0.07680000000000003,1.2133333333333334,1.0000000000000004,0.5714285714285715,0.17582417582417578,0.7857142857142857
frozenset({'Mew ex MEW 151'}),frozenset({'Fezandipiti ex SFA 38'}),0.36,0.84,0.36,1.0,1.1904761904761905,1.0,0.057599999999999985,inf,0.24999999999999994,0.42857142857142855,1.0,0.7142857142857143
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Mew ex MEW 151'}),0.84,0.36,0.36,0.42857142857142855,1.1904761904761905,1.0,0.057599999999999985,1.12,0.9999999999999996,0.42857142857142855,0.10714285714285712,0.7142857142857143
frozenset({'Radiant Greninja ASR 46'}),frozenset({'Fezandipiti ex SFA 38'}),0.48,0.84,0.48,1.0,1.1904761904761905,1.0,0.07680000000000003,inf,0.3076923076923078,0.5714285714285715,1.0,0.7857142857142857
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Radiant Greninja ASR 46'}),0.84,0.48,0.48,0.5714285714285714,1.1904761904761905,1.0,0.07680000000000003,1.2133333333333334,1.0000000000000004,0.5714285714285715,0.17582417582417578,0.7857142857142857
