Deck Name,Card Name,Quantity,Type
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Dragapult ex TWM 130,1,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Alolan Exeggutor ex SSP 133,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,2,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,4,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Superior Energy Retrieval PAL 189,1,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Temple of Sinnoh ASR 155,1,Trainer
Regidrago,Jamming Tower TWM 153,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,2,Energy
Cards,"19 Pokemon, 32 Trainer, 9 Energy",,
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Dragapult ex TWM 130,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Alolan Exeggutor ex SSP 133,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,3,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,4,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Jamming Tower TWM 153,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,3,Energy
Cards,"19 Pokemon, 31 Trainer, 10 Energy",,
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Dragapult ex TWM 130,1,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,2,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,4,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Superior Energy Retrieval PAL 189,1,Trainer
Regidrago,Tera Orb SSP 189,1,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Jamming Tower TWM 153,1,Trainer
Regidrago,PokéStop PGO 68,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,2,Energy
Cards,"18 Pokemon, 33 Trainer, 9 Energy",,
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Dragapult ex TWM 130,2,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,3,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,3,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Superior Energy Retrieval PAL 189,1,Trainer
Regidrago,Tera Orb SSP 189,1,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Lost Vacuum LOR 162,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,2,Energy
Cards,"19 Pokemon, 32 Trainer, 9 Energy",,
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Dragapult ex TWM 130,2,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,3,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,3,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Superior Energy Retrieval PAL 189,1,Trainer
Regidrago,Tera Orb SSP 189,1,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Lost Vacuum LOR 162,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,2,Energy
Cards,"19 Pokemon, 32 Trainer, 9 Energy",,
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Dragapult ex TWM 130,1,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Noivern ex PAL 153,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,3,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,4,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Jamming Tower TWM 153,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,3,Energy
Cards,"19 Pokemon, 31 Trainer, 10 Energy",,
Regidrago,Regidrago V SIT 135,3,Pokemon
Regidrago,Regidrago VSTAR SIT 136,3,Pokemon
Regidrago,Teal Mask Ogerpon ex TWM 25,3,Pokemon
Regidrago,Dragapult ex TWM 130,1,Pokemon
Regidrago,Giratina VSTAR LOR 131,1,Pokemon
Regidrago,Hisuian Goodra VSTAR LOR 136,1,Pokemon
Regidrago,Kyurem SFA 47,1,Pokemon
Regidrago,Squawkabilly ex PAL 169,1,Pokemon
Regidrago,Fezandipiti ex SFA 38,1,Pokemon
Regidrago,Mew ex MEW 151,1,Pokemon
Regidrago,Cleffa OBF 80,1,Pokemon
Regidrago,Radiant Charizard CRZ 20,1,Pokemon
Regidrago,Professor's Research SVI 189,4,Trainer
Regidrago,Iono PAL 185,2,Trainer
Regidrago,Boss's Orders PAL 172,2,Trainer
Regidrago,Ultra Ball SVI 196,4,Trainer
Regidrago,Nest Ball SVI 181,4,Trainer
Regidrago,Energy Switch SVI 173,4,Trainer
Regidrago,Earthen Vessel PAR 163,4,Trainer
Regidrago,Super Rod PAL 188,2,Trainer
Regidrago,Superior Energy Retrieval PAL 189,1,Trainer
Regidrago,Tera Orb SSP 189,1,Trainer
Regidrago,Canceling Cologne ASR 136,1,Trainer
Regidrago,Switch SVI 194,1,Trainer
Regidrago,Prime Catcher TEF 157,1,Trainer
Regidrago,Jamming Tower TWM 153,1,Trainer
Regidrago,PokéStop PGO 68,1,Trainer
Regidrago,Grass Energy SVE 9,7,Energy
Regidrago,Fire Energy SVE 10,2,Energy
Cards,"18 Pokemon, 33 Trainer, 9 Energy",,
Charizard,Charmander MEW 4,3,Pokemon
Charizard,Charmeleon PAF 8,1,Pokemon
Charizard,Charizard ex OBF 125,2,Pokemon
Charizard,Pidgey OBF 162,2,Pokemon
Charizard,Pidgeot ex OBF 164,2,Pokemon
Charizard,Duskull SFA 18,2,Pokemon
Charizard,Dusclops SFA 19,1,Pokemon
Charizard,Dusknoir SFA 20,1,Pokemon
Charizard,Fezandipiti ex SFA 38,1,Pokemon
Charizard,Rotom V LOR 58,1,Pokemon
Charizard,Lumineon V BRS 40,1,Pokemon
Charizard,Radiant Charizard CRZ 20,1,Pokemon
Charizard,Iono PAL 185,3,Trainer
Charizard,Arven OBF 186,2,Trainer
Charizard,Boss's Orders PAL 172,2,Trainer
Charizard,Thorton LOR 167,1,Trainer
Charizard,Professor's Research SVI 189,1,Trainer
Charizard,Professor Turo's Scenario PAR 171,1,Trainer
Charizard,Briar SCR 132,1,Trainer
Charizard,Ultra Ball SVI 196,4,Trainer
Charizard,Rare Candy SVI 191,4,Trainer
Charizard,Buddy-Buddy Poffin TEF 144,4,Trainer
Charizard,Nest Ball SVI 181,3,Trainer
Charizard,Super Rod PAL 188,2,Trainer
Charizard,Counter Catcher PAR 160,2,Trainer
Charizard,Night Stretcher SFA 61,1,Trainer
Charizard,Pal Pad SVI 182,1,Trainer
Charizard,Secret Box TWM 163,1,Trainer
Charizard,Forest Seal Stone SIT 156,1,Trainer
Charizard,Defiance Band SVI 169,1,Trainer
Charizard,Collapsed Stadium BRS 137,1,Trainer
Charizard,Jamming Tower TWM 153,1,Trainer
Charizard,Fire Energy SVE 10,5,Energy
Cards,"18 Pokemon, 37 Trainer, 5 Energy",,
Charizard,Charmander MEW 4,3,Pokemon
Charizard,Charmeleon PAF 8,1,Pokemon
Charizard,Charizard ex OBF 125,2,Pokemon
Charizard,Duskull SFA 18,2,Pokemon
Charizard,Dusclops SFA 19,1,Pokemon
Charizard,Dusknoir SFA 20,1,Pokemon
Charizard,Pidgey OBF 162,2,Pokemon
Charizard,Pidgeot ex OBF 164,2,Pokemon
Charizard,Rotom V LOR 58,1,Pokemon
Charizard,Lumineon V BRS 40,1,Pokemon
Charizard,Fezandipiti ex SFA 38,1,Pokemon
Charizard,Cleffa OBF 80,1,Pokemon
Charizard,Radiant Charizard CRZ 20,1,Pokemon
Charizard,Arven OBF 186,4,Trainer
